"","subj","roi","PC1","PC2","beh_sim","cluster","category","diff","network"
"TD359.9","TD359","Right_Amyg",-0.0219731167369987,-0.0137280682094373,-0.035212826458108,0.047565529975355,0.0751544508240915,-0.0275889208487365,"Limbic"
"TD360.9","TD360","Right_Amyg",-0.0332034402246432,-0.0603887784512887,-0.0552105856450421,-0.0551221823233759,-0.0389917321021427,-0.0161304502212332,"Limbic"
"TD361.9","TD361","Right_Amyg",-0.0361676726137212,-0.0255297788307899,-0.0391360950006367,-0.0688418527145815,-0.0566582624288959,-0.0121835902856856,"Limbic"
"TD362.9","TD362","Right_Amyg",-0.0152694346529292,-0.057777027831226,-0.0680823544827274,-0.038416327115224,-0.0437180228158978,0.00530169570067381,"Limbic"
"TD363.9","TD363","Right_Amyg",-0.0188065450643372,0.0372269657620748,0.0107314598739148,0.0461769006747316,0.0594528599126807,-0.0132759592379491,"Limbic"
"TD364.9","TD364","Right_Amyg",0.0100569457472702,-0.0512028991442106,-0.0104753460359324,-0.033497442107991,-0.0425102470391747,0.0090128049311837,"Limbic"
"TD367.9","TD367","Right_Amyg",-0.00888014636694873,-0.0339751433008768,-0.0405738397807347,0.0293575951665701,0.0781023885841549,-0.0487447934175848,"Limbic"
"TD368.9","TD368","Right_Amyg",-0.0170320319544254,-0.0104572336255178,-0.0246874658795778,-0.0233492139022417,-0.00496766971689844,-0.0183815441853433,"Limbic"
"TD369.9","TD369","Right_Amyg",0.05885771116588,-0.059435910343859,0.00868920915399738,-0.0017634709062935,-0.0381799072979651,0.0364164363916716,"Limbic"
"TD370.9","TD370","Right_Amyg",0.050744498930427,-0.054176896453348,-0.0102603429871709,-0.0532903597458819,0.00779455458603742,-0.0610849143319193,"Limbic"
"TD373.9","TD373","Right_Amyg",-0.0459623873783409,0.00835988419028247,0.002310792492496,-0.0352419771042532,0.0295233571219096,-0.0647653342261628,"Limbic"
"TD374.9","TD374","Right_Amyg",-0.0637752384814967,0.0405418739463778,-0.019247820311548,-0.00119664030285464,0.0400326084321448,-0.0412292487349994,"Limbic"
